Year,Round,Circuit,Driver,Team,SubSession,LapTime_s,GridPosition,Sector1_s,Sector2_s,Sector3_s,TyreLife,Compound,FreshTyre,SpeedI1,SpeedI2,SpeedFL,SpeedST,AirTemp_C,TrackTemp_C,Humidity_pct,Pressure_hPa,WindSpeed_ms,Rainfall,FP1_s,FP2_s,FP3_s,IsSprintWeekend,SubSession_ord,Wet
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,SAI,Ferrari,Q1,90.993,4.0,28.887,39.206,22.9,2.0,SOFT,True,242.0,271.0,288.0,326.0,24.0,28.2,17.0,1017.7,0.6,0.0,96.072,91.956,92.945,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,RUS,Mercedes,Q1,91.057,6.0,28.967,39.224,22.866,2.0,SOFT,True,242.0,271.0,289.0,320.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.966,91.882,92.731,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,LEC,Ferrari,Q1,91.094,3.0,29.099,39.134,22.861,2.0,SOFT,True,242.0,274.0,285.0,324.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.257,91.367,92.624,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,ALO,Aston Martin,Q1,91.158,5.0,29.259,39.038,22.861,2.0,SOFT,True,240.0,268.0,285.0,318.0,24.0,28.2,17.0,1017.7,0.6,0.0,93.196,90.907,92.34,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,STR,Aston Martin,Q1,91.184,8.0,28.966,39.39,22.828,2.0,SOFT,True,242.0,268.0,287.0,318.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.298,91.45,92.919,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,HUL,Haas F1 Team,Q1,91.204,10.0,29.049,39.215,22.94,2.0,SOFT,True,241.0,270.0,284.0,318.0,24.0,28.2,17.0,1017.7,0.6,0.0,95.043,91.376,93.423,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,VER,Red Bull Racing,Q1,91.295,1.0,29.152,39.195,22.948,3.0,SOFT,False,240.0,270.0,288.0,322.0,24.0,28.2,17.0,1017.7,0.6,0.0,93.375,91.076,92.345,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,TSU,AlphaTauri,Q1,91.4,14.0,29.242,39.229,22.929,2.0,SOFT,True,239.0,270.0,290.0,316.0,24.0,28.2,17.0,1017.7,0.6,0.0,95.015,92.525,93.475,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,ALB,Williams,Q1,91.461,15.0,29.25,39.224,22.987,2.0,SOFT,True,241.0,274.0,291.0,322.0,24.0,28.2,17.0,1017.7,0.6,0.0,96.018,92.44,93.882,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,PER,Red Bull Racing,Q1,91.479,2.0,29.218,39.397,22.864,3.0,SOFT,False,240.0,270.0,288.0,324.0,24.0,28.2,17.0,1017.7,0.6,0.0,92.758,91.078,92.446,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,BOT,Alfa Romeo,Q1,91.504,12.0,29.198,39.32,22.986,2.0,SOFT,True,240.0,268.0,282.0,316.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.689,91.793,93.629,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,OCO,Alpine,Q1,91.508,9.0,29.221,39.356,22.931,2.0,SOFT,True,240.0,268.0,286.0,321.0,24.0,28.2,17.0,1017.7,0.6,0.0,95.105,91.608,93.116,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,HAM,Mercedes,Q1,91.543,7.0,29.062,39.442,23.039,2.0,SOFT,True,244.0,271.0,286.0,321.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.917,91.543,92.555,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,ZHO,Alfa Romeo,Q1,91.615,13.0,29.212,39.338,23.065,2.0,SOFT,True,239.0,269.0,286.0,317.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.575,91.586,93.18,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,NOR,McLaren,Q1,91.652,11.0,29.304,39.257,23.091,2.0,SOFT,True,241.0,269.0,286.0,318.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.165,91.57,93.202,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,SAR,Williams,Q1,91.652,16.0,29.352,39.343,22.957,2.0,SOFT,True,241.0,271.0,285.0,322.0,24.0,28.2,17.0,1017.7,0.6,0.0,95.749,92.749,93.665,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,GAS,Alpine,Q1,91.818,20.0,29.247,39.412,23.159,2.0,SOFT,True,241.0,270.0,285.0,322.0,24.0,28.2,17.0,1017.7,0.6,0.0,95.455,91.475,93.064,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,MAG,Haas F1 Team,Q1,91.892,17.0,29.428,39.369,23.095,2.0,SOFT,True,240.0,271.0,289.0,317.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.402,92.11,93.381,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,PIA,McLaren,Q1,92.101,18.0,29.561,39.454,23.086,2.0,SOFT,True,241.0,268.0,285.0,316.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.997,92.024,93.045,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,DEV,AlphaTauri,Q1,92.121,19.0,29.382,39.634,23.105,2.0,SOFT,True,240.0,270.0,285.0,315.0,24.0,28.2,17.0,1017.7,0.6,0.0,95.402,92.605,94.082,0,1,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,LEC,Ferrari,Q2,90.282,3.0,28.884,38.729,22.669,2.0,SOFT,True,243.0,272.0,290.0,325.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.257,91.367,92.624,0,2,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,VER,Red Bull Racing,Q2,90.503,1.0,28.925,38.915,22.663,2.0,SOFT,True,240.0,270.0,288.0,323.0,24.0,28.2,17.0,1017.7,0.6,0.0,93.375,91.076,92.345,0,2,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,RUS,Mercedes,Q2,90.507,6.0,28.845,39.046,22.616,2.0,SOFT,True,243.0,270.0,290.0,320.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.966,91.882,92.731,0,2,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,HAM,Mercedes,Q2,90.513,7.0,28.844,39.045,22.624,2.0,SOFT,True,242.0,270.0,289.0,322.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.917,91.543,92.555,0,2,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,SAI,Ferrari,Q2,90.515,4.0,28.78,39.032,22.703,2.0,SOFT,True,242.0,270.0,290.0,326.0,24.0,28.2,17.0,1017.7,0.6,0.0,96.072,91.956,92.945,0,2,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,ALO,Aston Martin,Q2,90.645,5.0,29.012,38.987,22.646,2.0,SOFT,True,241.0,267.0,287.0,320.0,24.0,28.2,17.0,1017.7,0.6,0.0,93.196,90.907,92.34,0,2,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,PER,Red Bull Racing,Q2,90.746,2.0,28.964,38.997,22.785,2.0,SOFT,True,240.0,270.0,288.0,323.0,24.0,28.2,17.0,1017.7,0.6,0.0,92.758,91.078,92.446,0,2,0
