Year,Round,Circuit,Driver,Team,SubSession,LapTime_s,GridPosition,Sector1_s,Sector2_s,Sector3_s,TyreLife,Compound,FreshTyre,SpeedI1,SpeedI2,SpeedFL,SpeedST,AirTemp_C,TrackTemp_C,Humidity_pct,Pressure_hPa,WindSpeed_ms,Rainfall,SubSession_ord,Wet
2024,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,SAI,Ferrari,Q1,89.909,4.0,29.008,38.409,22.492,2.0,SOFT,True,242.0,273.0,284.0,314.0,18.1,21.5,47.0,1019.1,2.0,0.0,1,0
2024,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,STR,Aston Martin,Q1,89.965,12.0,28.651,38.609,22.705,2.0,SOFT,True,243.0,268.0,284.0,318.0,18.1,21.5,47.0,1019.1,2.0,0.0,1,0
2024,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,VER,Red Bull Racing,Q1,90.031,1.0,28.787,38.58,22.664,2.0,SOFT,True,242.0,270.0,288.0,316.0,18.1,21.5,47.0,1019.1,2.0,0.0,1,0
2024,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,NOR,McLaren,Q1,90.143,7.0,28.983,38.576,22.584,2.0,SOFT,True,243.0,273.0,287.0,309.0,18.1,21.5,47.0,1019.1,2.0,0.0,1,0
2024,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,ALO,Aston Martin,Q1,90.179,6.0,28.889,38.697,22.593,2.0,SOFT,True,243.0,267.0,287.0,313.0,18.1,21.5,47.0,1019.1,2.0,0.0,1,0
2024,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,PER,Red Bull Racing,Q1,90.221,5.0,28.939,38.598,22.684,2.0,SOFT,True,241.0,271.0,280.0,317.0,18.1,21.5,47.0,1019.1,2.0,0.0,1,0
2024,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,LEC,Ferrari,Q1,90.243,2.0,29.067,38.589,22.587,2.0,SOFT,True,243.0,272.0,286.0,316.0,18.1,21.5,47.0,1019.1,2.0,0.0,1,0
2024,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,RUS,Mercedes,Q1,90.35,3.0,29.102,38.727,22.521,2.0,SOFT,True,242.0,269.0,286.0,311.0,18.1,21.5,47.0,1019.1,2.0,0.0,1,0
2024,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,ALB,Williams,Q1,90.397,13.0,28.858,38.875,22.664,2.0,SOFT,True,241.0,271.0,288.0,321.0,18.1,21.5,47.0,1019.1,2.0,0.0,1,0
2024,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,HAM,Mercedes,Q1,90.451,9.0,29.019,38.894,22.538,2.0,SOFT,True,242.0,269.0,285.0,312.0,18.1,21.5,47.0,1019.1,2.0,0.0,1,0
2024,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,TSU,RB,Q1,90.481,11.0,28.941,38.875,22.665,2.0,SOFT,True,240.0,271.0,285.0,313.0,18.1,21.5,47.0,1019.1,2.0,0.0,1,0
2024,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,PIA,McLaren,Q1,90.531,8.0,29.243,38.791,22.497,2.0,SOFT,True,241.0,273.0,287.0,311.0,18.1,21.5,47.0,1019.1,2.0,0.0,1,0
