Year,Round,Circuit,Driver,Team,SubSession,LapTime_s,GridPosition,Sector1_s,Sector2_s,Sector3_s,TyreLife,Compound,FreshTyre,SpeedI1,SpeedI2,SpeedFL,SpeedST,AirTemp_C,TrackTemp_C,Humidity_pct,Pressure_hPa,WindSpeed_ms,Rainfall,FP1_s,FP2_s,FP3_s,IsSprintWeekend,SubSession_ord,Wet
2022,1,BAHRAIN GRAND PRIX,LEC,Ferrari,Q1,91.471,1.0,29.367,39.067,23.037,2.0,SOFT,True,241.0,269.0,286.0,314.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.557,92.023,92.64,0,1,0
2022,1,BAHRAIN GRAND PRIX,SAI,Ferrari,Q1,91.567,3.0,29.394,39.218,22.955,2.0,SOFT,True,240.0,268.0,287.0,315.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.611,92.52,93.053,0,1,0
2022,1,BAHRAIN GRAND PRIX,VER,Red Bull Racing,Q1,91.785,2.0,29.422,39.518,22.845,4.0,SOFT,True,237.0,270.0,288.0,321.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.742,91.936,92.544,0,1,0
2022,1,BAHRAIN GRAND PRIX,BOT,Kick Sauber,Q1,91.919,6.0,29.391,39.5,23.028,2.0,SOFT,True,240.0,268.0,287.0,313.0,19.4,25.4,56.0,1013.7,0.5,0.0,,92.951,93.733,0,1,0
2022,1,BAHRAIN GRAND PRIX,MAG,Haas F1 Team,Q1,91.955,7.0,29.58,39.379,22.996,2.0,SOFT,True,240.0,270.0,288.0,318.0,19.4,25.4,56.0,1013.7,0.5,0.0,96.804,93.183,93.437,0,1,0
2022,1,BAHRAIN GRAND PRIX,OCO,Alpine,Q1,92.041,11.0,29.538,39.431,23.072,2.0,SOFT,True,239.0,269.0,286.0,317.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.151,93.36,94.957,0,1,0
2022,1,BAHRAIN GRAND PRIX,GAS,Racing Bulls,Q1,92.096,10.0,29.597,39.481,23.018,2.0,SOFT,True,238.0,268.0,287.0,315.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.193,93.621,94.176,0,1,0
2022,1,BAHRAIN GRAND PRIX,NOR,McLaren,Q1,92.239,13.0,29.632,39.514,23.093,2.0,SOFT,True,237.0,267.0,285.0,315.0,19.4,25.4,56.0,1013.7,0.5,0.0,96.304,93.28,93.955,0,1,0
2022,1,BAHRAIN GRAND PRIX,RUS,Mercedes,Q1,92.269,9.0,29.652,39.53,23.087,4.0,SOFT,True,237.0,266.0,282.0,309.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.629,92.529,92.935,0,1,0
2022,1,BAHRAIN GRAND PRIX,HAM,Mercedes,Q1,92.285,5.0,29.549,39.74,22.996,2.0,SOFT,True,238.0,266.0,286.0,314.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.943,93.144,93.121,0,1,0
2022,1,BAHRAIN GRAND PRIX,PER,Red Bull Racing,Q1,92.311,4.0,29.807,39.462,23.042,5.0,SOFT,False,236.0,269.0,289.0,320.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.05,92.958,92.791,0,1,0
2022,1,BAHRAIN GRAND PRIX,ALO,Alpine,Q1,92.346,8.0,29.571,39.609,23.166,2.0,SOFT,True,241.0,268.0,287.0,318.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.0,92.877,94.628,0,1,0
2022,1,BAHRAIN GRAND PRIX,MSC,Haas F1 Team,Q1,92.38,12.0,29.642,39.743,22.995,2.0,SOFT,True,239.0,271.0,289.0,318.0,19.4,25.4,56.0,1013.7,0.5,0.0,96.536,93.085,94.295,0,1,0
2022,1,BAHRAIN GRAND PRIX,ZHO,Kick Sauber,Q1,92.493,15.0,29.501,39.796,23.196,2.0,SOFT,True,240.0,268.0,288.0,314.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.053,93.953,93.88,0,1,0
2022,1,BAHRAIN GRAND PRIX,ALB,Williams,Q1,92.726,14.0,29.64,39.785,23.301,2.0,SOFT,True,240.0,272.0,288.0,314.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.923,94.735,94.868,0,1,0
2022,1,BAHRAIN GRAND PRIX,TSU,Racing Bulls,Q1,92.75,16.0,29.724,39.811,23.215,2.0,SOFT,True,235.0,267.0,286.0,318.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.028,93.789,,0,1,0
2022,1,BAHRAIN GRAND PRIX,HUL,Aston Martin,Q1,92.777,17.0,29.833,39.76,23.184,2.0,SOFT,True,238.0,264.0,279.0,310.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.815,94.061,93.971,0,1,0
2022,1,BAHRAIN GRAND PRIX,RIC,McLaren,Q1,92.945,18.0,29.763,39.862,23.32,2.0,SOFT,True,237.0,266.0,282.0,311.0,19.4,25.4,56.0,1013.7,0.5,0.0,96.402,94.166,94.378,0,1,0
2022,1,BAHRAIN GRAND PRIX,STR,Aston Martin,Q1,93.032,19.0,29.906,39.844,23.282,2.0,SOFT,True,238.0,267.0,284.0,311.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.814,93.958,93.92,0,1,0
