Year,Round,Circuit,Driver,Team,AirTemp_C,TrackTemp_C,Humidity_pct,Pressure_hPa,WindSpeed_ms,Rainfall,Wet,GridPosition,quali_session_reached,q1_laptime_s,q1_sector1_s,q1_sector2_s,q1_sector3_s,q1_speedi1,q1_speedi2,q1_speedfl,q1_speedst,q1_tyrelife,q1_compound,q1_freshtyre,q2_laptime_s,q2_sector1_s,q2_sector2_s,q2_sector3_s,q2_speedi1,q2_speedi2,q2_speedfl,q2_speedst,q2_tyrelife,q2_compound,q2_freshtyre,q3_laptime_s,q3_sector1_s,q3_sector2_s,q3_sector3_s,q3_speedi1,q3_speedi2,q3_speedfl,q3_speedst,q3_tyrelife,q3_compound,q3_freshtyre
2022,1,BAHRAIN GRAND PRIX,ALB,Williams,19.4,25.4,56.0,1013.7,0.5,0.0,0,14.0,2,92.726,29.64,39.785,23.301,240.0,272.0,288.0,314.0,2.0,SOFT,True,92.664,29.564,39.897,23.203,240.0,271.0,287.0,313.0,2.0,SOFT,True,,,,,,,,,,,
2022,1,BAHRAIN GRAND PRIX,ALO,Alpine,19.4,25.4,56.0,1013.7,0.5,0.0,0,8.0,3,92.346,29.571,39.609,23.166,241.0,268.0,287.0,318.0,2.0,SOFT,True,91.621,29.306,39.305,23.01,241.0,268.0,286.0,318.0,2.0,SOFT,True,92.195,29.47,39.551,23.174,239.0,268.0,287.0,320.0,2.0,SOFT,True
2022,1,BAHRAIN GRAND PRIX,BOT,Kick Sauber,19.4,25.4,56.0,1013.7,0.5,0.0,0,6.0,3,91.919,29.391,39.5,23.028,240.0,268.0,287.0,313.0,2.0,SOFT,True,91.717,29.402,39.454,22.861,240.0,268.0,285.0,315.0,2.0,SOFT,True,91.56,29.203,39.296,23.061,239.0,269.0,286.0,314.0,2.0,SOFT,True
2022,1,BAHRAIN GRAND PRIX,GAS,Racing Bulls,19.4,25.4,56.0,1013.7,0.5,0.0,0,10.0,3,92.096,29.597,39.481,23.018,238.0,268.0,287.0,315.0,2.0,SOFT,True,91.635,29.253,39.335,23.047,239.0,269.0,279.0,314.0,2.0,SOFT,True,92.338,29.392,39.815,23.131,239.0,269.0,276.0,315.0,2.0,SOFT,True
2022,1,BAHRAIN GRAND PRIX,HAM,Mercedes,19.4,25.4,56.0,1013.7,0.5,0.0,0,5.0,3,92.285,29.549,39.74,22.996,238.0,266.0,286.0,314.0,2.0,SOFT,True,91.048,29.1,39.038,22.91,240.0,268.0,285.0,314.0,2.0,SOFT,True,91.238,29.384,38.965,22.889,239.0,268.0,285.0,312.0,2.0,SOFT,True
2022,1,BAHRAIN GRAND PRIX,HUL,Aston Martin,19.4,25.4,56.0,1013.7,0.5,0.0,0,17.0,1,92.777,29.833,39.76,23.184,238.0,264.0,279.0,310.0,2.0,SOFT,True,,,,,,,,,,,,,,,,,,,,,,
2022,1,BAHRAIN GRAND PRIX,LAT,Williams,19.4,25.4,56.0,1013.7,0.5,0.0,0,20.0,1,93.634,29.81,40.495,23.329,240.0,270.0,289.0,319.0,2.0,SOFT,True,,,,,,,,,,,,,,,,,,,,,,
2022,1,BAHRAIN GRAND PRIX,LEC,Ferrari,19.4,25.4,56.0,1013.7,0.5,0.0,0,1.0,3,91.471,29.367,39.067,23.037,241.0,269.0,286.0,314.0,2.0,SOFT,True,90.932,29.355,38.85,22.727,242.0,271.0,286.0,312.0,2.0,SOFT,True,90.558,29.115,38.702,22.741,241.0,270.0,288.0,316.0,2.0,SOFT,True
2022,1,BAHRAIN GRAND PRIX,MAG,Haas F1 Team,19.4,25.4,56.0,1013.7,0.5,0.0,0,7.0,3,91.955,29.58,39.379,22.996,240.0,270.0,288.0,318.0,2.0,SOFT,True,91.461,29.391,39.191,22.879,241.0,271.0,287.0,316.0,2.0,SOFT,True,91.808,29.31,39.456,23.042,241.0,270.0,278.0,318.0,2.0,SOFT,True
2022,1,BAHRAIN GRAND PRIX,MSC,Haas F1 Team,19.4,25.4,56.0,1013.7,0.5,0.0,0,12.0,2,92.38,29.642,39.743,22.995,239.0,271.0,289.0,318.0,2.0,SOFT,True,91.998,29.538,39.43,23.03,241.0,271.0,287.0,317.0,2.0,SOFT,True,,,,,,,,,,,
2022,1,BAHRAIN GRAND PRIX,NOR,McLaren,19.4,25.4,56.0,1013.7,0.5,0.0,0,13.0,2,92.239,29.632,39.514,23.093,237.0,267.0,285.0,315.0,2.0,SOFT,True,92.008,29.544,39.355,23.109,237.0,267.0,283.0,313.0,2.0,SOFT,True,,,,,,,,,,,
2022,1,BAHRAIN GRAND PRIX,OCO,Alpine,19.4,25.4,56.0,1013.7,0.5,0.0,0,11.0,2,92.041,29.538,39.431,23.072,239.0,269.0,286.0,317.0,2.0,SOFT,True,91.782,29.407,39.294,23.081,240.0,269.0,287.0,320.0,2.0,SOFT,True,,,,,,,,,,,
