Model,MAE,RMSE,R2,Spearman_rho,Top1_acc_%,Top3_acc_%
GPR,3.6221,4.5846,0.3585,0.5992,26.9,54.6
GPR_fp_only,3.8191,4.6303,0.3457,0.5859,20.6,51.1
GPR_no_circuit_metadata,3.6817,4.5606,0.3652,0.579,25.6,56.3
GPR_no_fp,4.1091,5.0329,0.2269,0.5226,21.8,48.5
GPR_no_fp1,3.8012,4.8529,0.2812,0.5604,27.1,52.5
GPR_no_fp1_fp2,3.7857,4.6301,0.3457,0.5981,23.1,53.4
GPR_no_weather,3.6607,4.5259,0.3748,0.5911,23.7,54.0
GPR_no_weather_no_fp,4.0704,4.9961,0.2382,0.5121,20.0,52.1
GPR_weather_only,3.8626,4.6459,0.3412,0.6061,20.8,50.0
GradientBoosting,3.2488,4.0218,0.5063,0.7053,27.5,60.1
GradientBoosting_fp_only,3.2838,4.0599,0.4969,0.6967,27.3,59.7
GradientBoosting_no_circuit_metadata,3.2584,4.0066,0.5101,0.7059,28.6,57.1
GradientBoosting_no_fp,3.5604,4.3786,0.4148,0.5731,23.9,56.1
GradientBoosting_no_fp1,3.2475,4.0089,0.5095,0.7033,27.9,59.9
GradientBoosting_no_fp1_fp2,3.3211,4.0423,0.5013,0.6917,24.4,59.0
GradientBoosting_no_weather,3.2778,4.0572,0.4976,0.6975,27.3,59.5
GradientBoosting_no_weather_no_fp,3.5756,4.3903,0.4117,0.5832,24.8,54.0
GradientBoosting_weather_only,3.5771,4.3416,0.4247,0.586,23.1,52.9
LinearRegression,4.5362,5.2823,0.1484,0.5641,16.4,39.7
LinearRegression_fp_only,4.5434,5.2806,0.1489,0.5749,16.0,38.9
LinearRegression_no_circuit_metadata,4.5445,5.2843,0.1478,0.5694,15.8,38.2
LinearRegression_no_fp,4.8983,5.6473,0.0266,0.2262,14.7,35.9
LinearRegression_no_fp1,4.6013,5.3492,0.1267,0.56,16.2,38.2
LinearRegression_no_fp1_fp2,4.698,5.4245,0.1019,0.4996,14.5,36.6
LinearRegression_no_weather,4.5415,5.283,0.1481,0.5677,17.4,38.9
LinearRegression_no_weather_no_fp,4.8982,5.6468,0.0268,0.2255,14.7,36.1
LinearRegression_weather_only,4.8985,5.6473,0.0266,0.2261,14.7,35.9
MLP,3.8349,4.7188,0.3204,0.6019,24.8,51.3
MLP_fp_only,3.5854,4.4258,0.4022,0.643,23.9,57.4
MLP_no_circuit_metadata,3.8145,4.731,0.3169,0.5732,25.0,54.4
MLP_no_fp,4.8471,5.6447,0.0275,0.2744,16.8,36.6
MLP_no_fp1,4.4893,5.5696,0.0532,0.5836,20.2,48.1
MLP_no_fp1_fp2,4.2833,5.2247,0.1669,0.5717,18.9,47.3
MLP_no_weather,3.8576,4.6807,0.3313,0.6416,21.4,51.7
MLP_no_weather_no_fp,5.1106,6.0518,-0.1178,0.3061,16.2,35.5
MLP_weather_only,4.7656,5.5426,0.0624,0.3449,15.5,37.8
SVR,3.7639,4.4691,0.3904,0.6345,18.5,50.4
SVR_fp_only,3.7298,4.4269,0.4019,0.6495,19.3,49.2
SVR_no_circuit_metadata,3.7504,4.5004,0.3818,0.6227,21.0,49.6
SVR_no_fp,4.9601,5.7264,-0.0008,0.1246,15.1,35.3
SVR_no_fp1,3.8307,4.576,0.3609,0.6028,19.3,48.9
SVR_no_fp1_fp2,4.0249,4.7698,0.3056,0.5685,19.7,46.8
SVR_no_weather,3.7602,4.4625,0.3922,0.6409,19.3,48.3
SVR_no_weather_no_fp,4.9601,5.7264,-0.0008,0.1455,15.1,35.3
SVR_weather_only,4.9601,5.7264,-0.0008,0.129,15.1,35.3
