,mean_abs_shap
FP3_s_Delta_pct,1.6033410035163556
Team,0.8883699926504496
FP2_s_Delta_pct,0.8794451017302417
FP1_s_Delta_pct,0.6704459541479202
Driver,0.4183267242494238
year,0.2792785595916147
WindSpeed_ms,0.13066938461097927
Pressure_hPa,0.11417849369130735
Humidity_pct,0.10144651059049599
elevation_change_m,0.08420528366930378
circuit_speed,0.0814854386256463
AirTemp_C,0.0792342515354254
TrackTemp_C,0.06449703913287666
circuit_character,0.053186510136022706
track_length_km,0.04690650489335885
Round,0.04006033773704784
Circuit,0.034555451865742395
num_corners,0.023768147166741582
Rainfall,0.019210082662832997
IsSprintWeekend,0.01904607627515094
circuit_layout,0.007464684186658304
Wet,0.0030080351327158032
